PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK
Jakob Pelletier,Syracuse Crunch,53,23,41,64,0.774,0.434,1.21,0.245,22,https://www.eliteprospects.com/player/410525/jakob-pelletier
Laurent Dauphin,Laval Rocket,53,15,44,59,0.83,0.283,1.11,0.642,22,https://www.eliteprospects.com/player/126400/laurent-dauphin
Cameron Hughes,Texas Stars,56,14,45,59,0.804,0.25,1.05,0.75,14,https://www.eliteprospects.com/player/62155/cameron-hughes
Alex Barre-Boulet,Colorado Eagles,57,19,39,58,0.684,0.333,1.02,0.456,21,https://www.eliteprospects.com/player/227670/alex-barre-boulet
Tanner Laczynski,Henderson Silver Knights,50,17,39,56,0.78,0.34,1.12,0.66,31,https://www.eliteprospects.com/player/234312/tanner-laczynski
Arthur Kaliyev,Belleville Senators,58,31,24,55,0.414,0.534,0.95,0.448,-16,https://www.eliteprospects.com/player/316114/arthur-kaliyev
Seth Griffith,Bakersfield Condors,59,16,39,55,0.661,0.271,0.93,0.644,2,https://www.eliteprospects.com/player/45606/seth-griffith
Logan Morrison,Coachella Valley Firebirds,57,26,27,53,0.474,0.456,0.93,0.702,24,https://www.eliteprospects.com/player/201937/logan-morrison
Alex Belzile,Laval Rocket,58,26,26,52,0.448,0.448,0.9,1.069,12,https://www.eliteprospects.com/player/68593/alex-belzile
Justin Robidas,Chicago Wolves,53,22,30,52,0.566,0.415,0.98,0.264,18,https://www.eliteprospects.com/player/411012/justin-robidas
Jagger Firkus,Coachella Valley Firebirds,57,20,32,52,0.561,0.351,0.91,0.281,14,https://www.eliteprospects.com/player/565465/jagger-firkus
Conor Geekie,Syracuse Crunch,48,14,38,52,0.792,0.292,1.08,0.958,13,https://www.eliteprospects.com/player/571034/conor-geekie
Bradly Nadeau,Chicago Wolves,46,25,26,51,0.565,0.543,1.11,0.522,17,https://www.eliteprospects.com/player/619153/bradly-nadeau
Benoit-Olivier Groulx,Toronto Marlies,54,27,23,50,0.426,0.5,0.93,0.593,13,https://www.eliteprospects.com/player/335689/benoit-olivier-groulx
Quinn Hutson,Bakersfield Condors,54,26,24,50,0.444,0.481,0.93,1.333,0,https://www.eliteprospects.com/player/201721/quinn-hutson
Ilya Protas,Hershey Bears,59,25,25,50,0.424,0.424,0.85,0.576,9,https://www.eliteprospects.com/player/949987/ilya-protas
Zac Jones,Rochester Americans,47,8,42,50,0.894,0.17,1.06,0.255,-4,https://www.eliteprospects.com/player/364649/zac-jones
Dylan Duke,Syracuse Crunch,59,29,20,49,0.339,0.492,0.83,0.508,-5,https://www.eliteprospects.com/player/512163/dylan-duke
Patrick Brown,Providence Bruins,58,17,32,49,0.552,0.293,0.84,0.793,34,https://www.eliteprospects.com/player/75038/patrick-brown
Mitchell Chaffee,Syracuse Crunch,47,20,28,48,0.596,0.426,1.02,1.128,3,https://www.eliteprospects.com/player/296327/mitchell-chaffee
Luca Del Bel Belluz,Cleveland Monsters,46,18,30,48,0.652,0.391,1.04,0.043,2,https://www.eliteprospects.com/player/525669/luca-del-bel-belluz
Georgii Merkulov,Providence Bruins,56,18,30,48,0.536,0.321,0.86,0.607,15,https://www.eliteprospects.com/player/395630/georgii-merkulov
Felix Unger Sorum,Chicago Wolves,56,11,37,48,0.661,0.196,0.86,0.321,-1,https://www.eliteprospects.com/player/618598/felix-unger-sorum
Ben McCartney,Tucson Roadrunners,49,21,26,47,0.531,0.429,0.96,1.347,6,https://www.eliteprospects.com/player/351230/ben-mccartney
Filip Bystedt,San Jose Barracuda,50,18,29,47,0.58,0.36,0.94,0.44,4,https://www.eliteprospects.com/player/578760/filip-bystedt
Dryden Hunt,Calgary Wranglers,39,15,32,47,0.821,0.385,1.21,1.128,5,https://www.eliteprospects.com/player/84609/dryden-hunt
Martin Frk,Calgary Wranglers,57,20,26,46,0.456,0.351,0.81,1.018,8,https://www.eliteprospects.com/player/56033/martin-frk
Cameron Hebig,Tucson Roadrunners,55,19,27,46,0.491,0.345,0.84,0.545,-1,https://www.eliteprospects.com/player/199897/cameron-hebig
Xavier Bourgault,Belleville Senators,58,18,28,46,0.483,0.31,0.79,0.414,-16,https://www.eliteprospects.com/player/341629/xavier-bourgault
Andrew Cristall,Hershey Bears,60,14,32,46,0.533,0.233,0.77,0.333,-11,https://www.eliteprospects.com/player/603591/andrew-cristall
Viljami Marjala,Bakersfield Condors,59,13,33,46,0.559,0.22,0.78,0.339,-3,https://www.eliteprospects.com/player/525657/viljami-marjala
Riley Tufte,Providence Bruins,51,25,20,45,0.392,0.49,0.88,1.118,26,https://www.eliteprospects.com/player/291903/riley-tufte
Rory Kerins,Calgary Wranglers,50,17,28,45,0.56,0.34,0.9,0.32,-11,https://www.eliteprospects.com/player/504297/rory-kerins
Matt Luff,totals,50,17,28,45,0.56,0.34,0.9,0.58,-14,https://www.eliteprospects.com/player/238487/matt-luff
Konsta Helenius,Rochester Americans,48,15,30,45,0.625,0.312,0.94,0.292,-9,https://www.eliteprospects.com/player/796075/konsta-helenius
Jayson Megna,Colorado Eagles,57,23,21,44,0.368,0.404,0.77,0.491,23,https://www.eliteprospects.com/player/46027/jayson-megna
Austin Poganski,Tucson Roadrunners,57,17,27,44,0.474,0.298,0.77,0.211,0,https://www.eliteprospects.com/player/231724/austin-poganski
Glenn Gawdin,Ontario Reign,59,13,31,44,0.525,0.22,0.75,1.136,-2,https://www.eliteprospects.com/player/192245/glenn-gawdin
Ryan Ufko,Milwaukee Admirals,50,11,33,44,0.66,0.22,0.88,0.4,-12,https://www.eliteprospects.com/player/511993/ryan-ufko
Ryan Suzuki,Chicago Wolves,54,11,33,44,0.611,0.204,0.81,0.519,13,https://www.eliteprospects.com/player/418345/ryan-suzuki
Lukas Cormier,Henderson Silver Knights,45,7,37,44,0.822,0.156,0.98,0.356,3,https://www.eliteprospects.com/player/201780/lukas-cormier
Isak Rosen,Rochester Americans,37,25,18,43,0.486,0.676,1.16,0.162,0,https://www.eliteprospects.com/player/420269/isak-rosen
Martin Chromiak,Ontario Reign,58,21,22,43,0.379,0.362,0.74,0.207,2,https://www.eliteprospects.com/player/292067/martin-chromiak
Cole Guttman,Ontario Reign,55,20,23,43,0.418,0.364,0.78,0.8,0,https://www.eliteprospects.com/player/201449/cole-guttman
Matej Blumel,Providence Bruins,44,17,26,43,0.591,0.386,0.98,0.318,20,https://www.eliteprospects.com/player/272376/matej-blumel
Dominic Toninato,Rockford IceHogs,52,16,27,43,0.519,0.308,0.83,1.096,-8,https://www.eliteprospects.com/player/122004/dominic-toninato
Philippe Daoust,Belleville Senators,52,13,30,43,0.577,0.25,0.83,0.462,-12,https://www.eliteprospects.com/player/574526/philippe-daoust
Brett Seney,Rockford IceHogs,53,12,31,43,0.585,0.226,0.81,1.038,5,https://www.eliteprospects.com/player/204125/brett-seney
Nikita Alexandrov,totals,54,11,32,43,0.593,0.204,0.8,0.407,-22,https://www.eliteprospects.com/player/238111/nikita-alexandrov
Trey Fix-Wolansky,Hartford Wolf Pack,58,23,19,42,0.328,0.397,0.72,1.621,-1,https://www.eliteprospects.com/player/257717/trey-fix-wolansky
Lane Pederson,Lehigh Valley Phantoms,55,21,21,42,0.382,0.382,0.76,0.764,-7,https://www.eliteprospects.com/player/199918/lane-pederson
Sasha Pastujov,San Diego Gulls,58,14,28,42,0.483,0.241,0.72,0.448,1,https://www.eliteprospects.com/player/512165/sasha-pastujov
William Stromgren,Calgary Wranglers,53,10,32,42,0.604,0.189,0.79,0.717,1,https://www.eliteprospects.com/player/486944/william-stromgren
Jack Ahcan,Colorado Eagles,48,8,34,42,0.708,0.167,0.88,0.792,25,https://www.eliteprospects.com/player/248456/jack-ahcan
John Leonard,Grand Rapids Griffins,34,27,14,41,0.412,0.794,1.21,0.176,11,https://www.eliteprospects.com/player/272976/john-leonard
Andre Lee,Ontario Reign,52,24,17,41,0.327,0.462,0.79,0.788,11,https://www.eliteprospects.com/player/350001/andre-lee
Rem Pitlick,totals,56,17,24,41,0.429,0.304,0.73,0.679,-20,https://www.eliteprospects.com/player/199968/rem-pitlick
Anthony Richard,Lehigh Valley Phantoms,53,16,25,41,0.472,0.302,0.77,0.453,-10,https://www.eliteprospects.com/player/155661/anthony-richard
Jimmy Huntington,San Jose Barracuda,56,14,27,41,0.482,0.25,0.73,0.625,6,https://www.eliteprospects.com/player/254885/jimmy-huntington
Logan Shaw,Toronto Marlies,59,19,21,40,0.356,0.322,0.68,0.39,0,https://www.eliteprospects.com/player/37280/logan-shaw
Samuel Poulin,totals,58,16,24,40,0.414,0.276,0.69,0.552,18,https://www.eliteprospects.com/player/290171/samuel-poulin
Fabian Lysell,Providence Bruins,53,15,25,40,0.472,0.283,0.75,0.887,12,https://www.eliteprospects.com/player/472769/fabian-lysell
Sean Farrell,Laval Rocket,61,13,27,40,0.443,0.213,0.66,0.295,0,https://www.eliteprospects.com/player/386329/sean-farrell
Nick Abruzzese,Syracuse Crunch,44,9,31,40,0.705,0.205,0.91,0.136,8,https://www.eliteprospects.com/player/201476/nick-abruzzese
T.J. Tynan,Colorado Eagles,54,3,37,40,0.685,0.056,0.74,0.704,8,https://www.eliteprospects.com/player/45686/t.j.-tynan
Adam Beckman,Bridgeport Islanders,56,22,17,39,0.304,0.393,0.7,0.643,0,https://www.eliteprospects.com/player/291514/adam-beckman
Matthew Seminoff,Texas Stars,56,20,19,39,0.339,0.357,0.7,0.286,15,https://www.eliteprospects.com/player/538928/matthew-seminoff
Vinni Lettieri,Toronto Marlies,47,12,27,39,0.574,0.255,0.83,0.638,5,https://www.eliteprospects.com/player/118656/vinni-lettieri
Matthew Phillips,San Diego Gulls,58,10,29,39,0.5,0.172,0.67,0.207,-15,https://www.eliteprospects.com/player/161060/matthew-phillips
Ben Hemmerling,Henderson Silver Knights,54,21,17,38,0.315,0.389,0.7,0.296,27,https://www.eliteprospects.com/player/558211/ben-hemmerling
Jake Lucchini,Milwaukee Admirals,51,13,25,38,0.49,0.255,0.75,0.333,-11,https://www.eliteprospects.com/player/102374/jake-lucchini
Brett Leason,Hershey Bears,44,12,26,38,0.591,0.273,0.86,0.773,9,https://www.eliteprospects.com/player/257755/brett-leason
Scott Perunovich,Tucson Roadrunners,54,7,31,38,0.574,0.13,0.7,0.852,0,https://www.eliteprospects.com/player/300906/scott-perunovich
James Hamblin,Bakersfield Condors,52,23,14,37,0.269,0.442,0.71,0.577,16,https://www.eliteprospects.com/player/201363/james-hamblin
Chris Wagner,Springfield Thunderbirds,55,22,15,37,0.273,0.4,0.67,0.782,-15,https://www.eliteprospects.com/player/39429/chris-wagner
Dominik Shine,Grand Rapids Griffins,38,21,16,37,0.421,0.553,0.97,1.079,25,https://www.eliteprospects.com/player/45858/dominik-shine
Sheldon Dries,Grand Rapids Griffins,48,20,17,37,0.354,0.417,0.77,0.271,22,https://www.eliteprospects.com/player/97620/sheldon-dries
Michael Brandsegg-Nygard,Grand Rapids Griffins,50,16,21,37,0.42,0.32,0.74,0.64,24,https://www.eliteprospects.com/player/619176/michael-brandsegg-nygard
Mikael Pyyhtia,Cleveland Monsters,45,12,25,37,0.556,0.267,0.82,0.444,2,https://www.eliteprospects.com/player/470710/mikael-pyyhtia
Valtteri Puustinen,totals,53,12,25,37,0.472,0.226,0.7,0.302,5,https://www.eliteprospects.com/player/332963/valtteri-puustinen
Matthew Poitras,Providence Bruins,55,12,25,37,0.455,0.218,0.67,0.764,1,https://www.eliteprospects.com/player/661581/matthew-poitras
Tyson Jugnauth,Coachella Valley Firebirds,57,7,30,37,0.526,0.123,0.65,0.632,4,https://www.eliteprospects.com/player/650072/tyson-jugnauth
Tristen Nielsen,Colorado Eagles,54,22,14,36,0.259,0.407,0.67,0.852,6,https://www.eliteprospects.com/player/299754/tristen-nielsen
Liam Foudy,Bridgeport Islanders,48,21,15,36,0.312,0.438,0.75,0.25,-4,https://www.eliteprospects.com/player/397650/liam-foudy
Ben Steeves,Charlotte Checkers,58,19,17,36,0.293,0.328,0.62,1.207,2,https://www.eliteprospects.com/player/510338/ben-steeves
Roby Jarventie,Bakersfield Condors,52,17,19,36,0.365,0.327,0.69,0.462,12,https://www.eliteprospects.com/player/534236/roby-jarventie
Mason Shaw,Manitoba Moose,54,15,21,36,0.389,0.278,0.67,0.907,12,https://www.eliteprospects.com/player/162926/mason-shaw
Ryan Carpenter,San Diego Gulls,58,15,21,36,0.362,0.259,0.62,0.379,-11,https://www.eliteprospects.com/player/46952/ryan-carpenter
Kai Uchacz,Henderson Silver Knights,54,11,25,36,0.463,0.204,0.67,0.704,-2,https://www.eliteprospects.com/player/505754/kai-uchacz
Jeremy Davies,Henderson Silver Knights,57,8,28,36,0.491,0.14,0.63,1.263,-1,https://www.eliteprospects.com/player/213454/jeremy-davies
Luca Cagnoni,San Jose Barracuda,55,7,29,36,0.527,0.127,0.65,0.364,-3,https://www.eliteprospects.com/player/529803/luca-cagnoni
Isaac Howard,Bakersfield Condors,35,16,19,35,0.543,0.457,1,0.229,3,https://www.eliteprospects.com/player/603668/isaac-howard
Alexander Nylander,Toronto Marlies,52,15,20,35,0.385,0.288,0.67,0.192,1,https://www.eliteprospects.com/player/212641/alexander-nylander
Carter Yakemchuk,Belleville Senators,47,9,26,35,0.553,0.191,0.74,0.553,-29,https://www.eliteprospects.com/player/599451/carter-yakemchuk
Matthew Peca,totals,51,8,27,35,0.529,0.157,0.69,0.235,-15,https://www.eliteprospects.com/player/78295/matthew-peca
Wilmer Skoog,Charlotte Checkers,56,18,16,34,0.286,0.321,0.61,0.554,10,https://www.eliteprospects.com/player/344665/wilmer-skoog
Joshua Roy,Laval Rocket,47,16,18,34,0.383,0.34,0.72,0.681,-9,https://www.eliteprospects.com/player/483757/joshua-roy
Tristan Broz,Wilkes-Barre/Scranton Penguins,45,14,20,34,0.444,0.311,0.76,0.644,15,https://www.eliteprospects.com/player/470024/tristan-broz
Amadeus Lombardi,Grand Rapids Griffins,34,12,22,34,0.647,0.353,1,0.588,12,https://www.eliteprospects.com/player/640282/amadeus-lombardi
Luca Pinelli,Cleveland Monsters,54,10,24,34,0.444,0.185,0.63,1.074,-1,https://www.eliteprospects.com/player/603563/luca-pinelli
Calle Rosen,totals,58,8,26,34,0.448,0.138,0.59,0.31,-16,https://www.eliteprospects.com/player/37021/calle-rosen
Jordan Oesterle,Milwaukee Admirals,56,7,27,34,0.482,0.125,0.61,0.429,-14,https://www.eliteprospects.com/player/84700/jordan-oesterle
Graeme Clarke,totals,53,19,14,33,0.264,0.358,0.62,0.453,-3,https://www.eliteprospects.com/player/286955/graeme-clarke
Raphael Lavoie,Henderson Silver Knights,30,17,16,33,0.533,0.567,1.1,0.2,2,https://www.eliteprospects.com/player/335712/raphael-lavoie
Judd Caulfield,San Diego Gulls,58,15,18,33,0.31,0.259,0.57,0.207,5,https://www.eliteprospects.com/player/444997/judd-caulfield
Jack Devine,Charlotte Checkers,49,14,19,33,0.388,0.286,0.67,0.918,17,https://www.eliteprospects.com/player/464780/jack-devine
Igor Chernyshov,San Jose Barracuda,41,13,20,33,0.488,0.317,0.8,0.878,11,https://www.eliteprospects.com/player/779993/igor-chernyshov
Bogdan Trineyev,Hershey Bears,50,13,20,33,0.4,0.26,0.66,0.4,4,https://www.eliteprospects.com/player/537760/bogdan-trineyev
Sam Morton,Calgary Wranglers,55,13,20,33,0.364,0.236,0.6,0.473,-9,https://www.eliteprospects.com/player/274009/sam-morton
Colin White,San Jose Barracuda,34,12,21,33,0.618,0.353,0.97,0.706,3,https://www.eliteprospects.com/player/183810/colin-white
Jacob Quillan,Toronto Marlies,38,12,21,33,0.553,0.316,0.87,0.605,9,https://www.eliteprospects.com/player/318454/jacob-quillan
Ville Koivunen,Wilkes-Barre/Scranton Penguins,28,11,22,33,0.786,0.393,1.18,1.286,8,https://www.eliteprospects.com/player/525660/ville-koivunen
Adam Engstrom,Laval Rocket,40,10,23,33,0.575,0.25,0.83,0.4,15,https://www.eliteprospects.com/player/491616/adam-engstrom
Philip Tomasino,totals,42,10,23,33,0.548,0.238,0.79,0.833,-1,https://www.eliteprospects.com/player/418531/philip-tomasino
Oliver Wahlstrom,San Jose Barracuda,51,22,10,32,0.196,0.431,0.63,0.804,-13,https://www.eliteprospects.com/player/241370/oliver-wahlstrom
Brian Halonen,Utica Comets,42,19,13,32,0.31,0.452,0.76,0.619,0,https://www.eliteprospects.com/player/419044/brian-halonen
Nick Lardis,Rockford IceHogs,35,18,14,32,0.4,0.514,0.91,0.343,3,https://www.eliteprospects.com/player/603122/nick-lardis
Aidan McDonough,Wilkes-Barre/Scranton Penguins,54,16,16,32,0.296,0.296,0.59,0.37,16,https://www.eliteprospects.com/player/348494/aidan-mcdonough
Quentin Musty,San Jose Barracuda,46,15,17,32,0.37,0.326,0.7,0.826,-6,https://www.eliteprospects.com/player/685701/quentin-musty
Cole O'Hara,Milwaukee Admirals,52,15,17,32,0.327,0.288,0.62,0.154,-7,https://www.eliteprospects.com/player/201938/cole-o-hara
Aleksanteri Kaskimaki,Springfield Thunderbirds,51,14,18,32,0.353,0.275,0.63,0.157,-16,https://www.eliteprospects.com/player/640621/aleksanteri-kaskimaki
Nolan Foote,Charlotte Checkers,54,14,18,32,0.333,0.259,0.59,0.741,2,https://www.eliteprospects.com/player/240385/nolan-foote
Dylan Coghlan,Henderson Silver Knights,47,13,19,32,0.404,0.277,0.68,0.511,7,https://www.eliteprospects.com/player/247901/dylan-coghlan
Trevor Connelly,Henderson Silver Knights,31,11,21,32,0.677,0.355,1.03,0.194,-4,https://www.eliteprospects.com/player/597781/trevor-connelly
David Gustafsson,Manitoba Moose,46,10,22,32,0.478,0.217,0.7,0.261,12,https://www.eliteprospects.com/player/293796/david-gustafsson
Dmitri Simashev,Tucson Roadrunners,34,8,24,32,0.706,0.235,0.94,0.853,2,https://www.eliteprospects.com/player/708607/dmitri-simashev
Christian Kyrou,totals,51,8,24,32,0.471,0.157,0.63,0.235,-1,https://www.eliteprospects.com/player/582653/christian-kyrou
Nils Aman,Abbotsford Canucks,47,5,27,32,0.574,0.106,0.68,0.255,-2,https://www.eliteprospects.com/player/343876/nils-aman
Xavier Parent,Utica Comets,50,18,13,31,0.26,0.36,0.62,1.52,-9,https://www.eliteprospects.com/player/241379/xavier-parent
Riley Fiddler-Schultz,Rochester Americans,57,18,13,31,0.228,0.316,0.54,0.456,-13,https://www.eliteprospects.com/player/408219/riley-fiddler-schultz
Justin Bailey,San Diego Gulls,58,18,13,31,0.224,0.31,0.53,0.621,0,https://www.eliteprospects.com/player/116970/justin-bailey
Daniel Carr,Milwaukee Admirals,49,16,15,31,0.306,0.327,0.63,0.653,-18,https://www.eliteprospects.com/player/39435/daniel-carr
Skyler Brind'Amour,Chicago Wolves,56,15,16,31,0.286,0.268,0.55,0.464,-7,https://www.eliteprospects.com/player/345585/skyler-brind-amour
Ty Mueller,Abbotsford Canucks,54,14,17,31,0.315,0.259,0.57,0.37,-18,https://www.eliteprospects.com/player/475179/ty-mueller
Ivan Miroshnichenko,Hershey Bears,38,12,19,31,0.5,0.316,0.82,1.237,-1,https://www.eliteprospects.com/player/526255/ivan-miroshnichenko
Yegor Afanasyev,San Jose Barracuda,50,11,20,31,0.4,0.22,0.62,1.02,3,https://www.eliteprospects.com/player/450909/yegor-afanasyev
Matthew Highmore,Bridgeport Islanders,59,10,21,31,0.356,0.169,0.53,0.373,-2,https://www.eliteprospects.com/player/130125/matthew-highmore
Domenick Fensore,Chicago Wolves,47,9,22,31,0.468,0.191,0.66,0.617,5,https://www.eliteprospects.com/player/424459/domenick-fensore
Josh Samanski,Bakersfield Condors,45,8,23,31,0.511,0.178,0.69,0.889,6,https://www.eliteprospects.com/player/427110/josh-samanski
Mike Benning,Charlotte Checkers,56,8,23,31,0.411,0.143,0.55,0.714,10,https://www.eliteprospects.com/player/201914/mike-benning
Louie Belpedio,Hershey Bears,57,7,24,31,0.421,0.123,0.54,1.035,1,https://www.eliteprospects.com/player/177686/louie-belpedio
Avery Hayes,Wilkes-Barre/Scranton Penguins,36,19,11,30,0.306,0.528,0.83,1.278,3,https://www.eliteprospects.com/player/418255/avery-hayes
Jared Wright,Ontario Reign,54,17,13,30,0.241,0.315,0.56,0.204,27,https://www.eliteprospects.com/player/616241/jared-wright
Jacob Gaucher,Lehigh Valley Phantoms,56,16,14,30,0.25,0.286,0.54,0.75,-5,https://www.eliteprospects.com/player/290162/jacob-gaucher
Andrew Agozzino,Tucson Roadrunners,43,14,16,30,0.372,0.326,0.7,0.372,-4,https://www.eliteprospects.com/player/23816/andrew-agozzino
Kyle Criscuolo,Utica Comets,49,12,18,30,0.367,0.245,0.61,0.408,-9,https://www.eliteprospects.com/player/74212/kyle-criscuolo
Frederic Brunet,Providence Bruins,58,11,19,30,0.328,0.19,0.52,0.517,21,https://www.eliteprospects.com/player/502761/frederic-brunet
Matvei Gridin,Calgary Wranglers,37,10,20,30,0.541,0.27,0.81,0.486,0,https://www.eliteprospects.com/player/527724/matvei-gridin
Matthew Maggio,Bridgeport Islanders,59,10,20,30,0.339,0.169,0.51,0.508,-4,https://www.eliteprospects.com/player/505365/matthew-maggio
Kenny Connors,Ontario Reign,53,9,21,30,0.396,0.17,0.57,0.434,14,https://www.eliteprospects.com/player/478379/kenny-connors
Eduards Tralmaks,Grand Rapids Griffins,51,19,10,29,0.196,0.373,0.57,0.118,22,https://www.eliteprospects.com/player/214279/eduards-tralmaks
Daniil But,Tucson Roadrunners,32,15,14,29,0.438,0.469,0.91,1,-3,https://www.eliteprospects.com/player/779971/daniil-but
Ben Berard,Abbotsford Canucks,55,13,16,29,0.291,0.236,0.53,0.273,-24,https://www.eliteprospects.com/player/297996/ben-berard
Kasper Halttunen,San Jose Barracuda,54,11,18,29,0.333,0.204,0.54,0.722,5,https://www.eliteprospects.com/player/709538/kasper-halttunen
Atley Calvert,Wilkes-Barre/Scranton Penguins,58,11,18,29,0.31,0.19,0.5,0.345,13,https://www.eliteprospects.com/player/406413/atley-calvert
Travis Boyd,Toronto Marlies,34,10,19,29,0.559,0.294,0.85,0.176,-8,https://www.eliteprospects.com/player/38621/travis-boyd
Joakim Kemell,Milwaukee Admirals,46,10,19,29,0.413,0.217,0.63,1.217,-18,https://www.eliteprospects.com/player/526043/joakim-kemell
Justin Dowling,Hartford Wolf Pack,43,9,20,29,0.465,0.209,0.67,0.093,-7,https://www.eliteprospects.com/player/23320/justin-dowling
Daniil Miromanov,Calgary Wranglers,53,9,20,29,0.377,0.17,0.55,0.377,-5,https://www.eliteprospects.com/player/289399/daniil-miromanov
Juraj Pekarcik,Springfield Thunderbirds,57,8,21,29,0.368,0.14,0.51,0.175,-10,https://www.eliteprospects.com/player/731900/juraj-pekarcik
Tristan Luneau,San Diego Gulls,58,7,22,29,0.379,0.121,0.5,0.466,-13,https://www.eliteprospects.com/player/491564/tristan-luneau
Stephen Halliday,Belleville Senators,29,2,27,29,0.931,0.069,1,0.552,-14,https://www.eliteprospects.com/player/462499/stephen-halliday
Angus Crookshank,Utica Comets,48,17,11,28,0.229,0.354,0.58,0.25,-16,https://www.eliteprospects.com/player/201687/angus-crookshank
Gerald Mayhew,Iowa Wild,44,16,12,28,0.273,0.364,0.64,0.636,-14,https://www.eliteprospects.com/player/151849/gerald-mayhew
Brendan Brisson,Hartford Wolf Pack,52,16,12,28,0.231,0.308,0.54,1,-19,https://www.eliteprospects.com/player/299642/brendan-brisson
Reid Schaefer,Milwaukee Admirals,31,15,13,28,0.419,0.484,0.9,1.774,6,https://www.eliteprospects.com/player/506838/reid-schaefer
Dans Locmelis,Providence Bruins,43,15,13,28,0.302,0.349,0.65,0.14,16,https://www.eliteprospects.com/player/638391/dans-locmelis
Samuel Fagemo,Manitoba Moose,55,15,13,28,0.236,0.273,0.51,0.291,-13,https://www.eliteprospects.com/player/288459/samuel-fagemo
Rafael Harvey-Pinard,Wilkes-Barre/Scranton Penguins,55,15,13,28,0.236,0.273,0.51,0.564,10,https://www.eliteprospects.com/player/354123/rafael-harvey-pinard
Trevor Kuntar,Rochester Americans,55,15,13,28,0.236,0.273,0.51,1.364,-7,https://www.eliteprospects.com/player/290309/trevor-kuntar
Zachary L'Heureux,Milwaukee Admirals,28,14,14,28,0.5,0.5,1,2.321,0,https://www.eliteprospects.com/player/419758/zachary-l-heureux
Brendan Furry,Syracuse Crunch,58,14,14,28,0.241,0.241,0.48,0.345,-2,https://www.eliteprospects.com/player/474371/brendan-furry
Walker Duehr,Manitoba Moose,45,13,15,28,0.333,0.289,0.62,0.4,10,https://www.eliteprospects.com/player/234647/walker-duehr
Antonio Stranges,Texas Stars,54,13,15,28,0.278,0.241,0.52,0.074,-20,https://www.eliteprospects.com/player/369848/antonio-stranges
Owen Sillinger,Cleveland Monsters,55,13,15,28,0.273,0.236,0.51,0.745,-8,https://www.eliteprospects.com/player/199994/owen-sillinger
Nicolas Aube-Kubel,Iowa Wild,47,12,16,28,0.34,0.255,0.6,0.851,-2,https://www.eliteprospects.com/player/151146/nicolas-aube-kubel
Jack Williams,Cleveland Monsters,58,12,16,28,0.276,0.207,0.48,0.172,3,https://www.eliteprospects.com/player/498800/jack-williams
Jack Becker,Texas Stars,55,11,17,28,0.309,0.2,0.51,0.527,7,https://www.eliteprospects.com/player/248382/jack-becker
Francesco Pinelli,Ontario Reign,52,10,18,28,0.346,0.192,0.54,0.673,12,https://www.eliteprospects.com/player/617488/francesco-pinelli
Atro Leppanen,Bakersfield Condors,40,8,20,28,0.5,0.2,0.7,0.6,-7,https://www.eliteprospects.com/player/326877/atro-leppanen
Derrick Pouliot,totals,55,2,26,28,0.473,0.036,0.51,0.618,-12,https://www.eliteprospects.com/player/59741/derrick-pouliot
Jani Nyman,Coachella Valley Firebirds,29,18,9,27,0.31,0.621,0.93,0.862,18,https://www.eliteprospects.com/player/611825/jani-nyman
Artem Shlaine,Texas Stars,53,15,12,27,0.226,0.283,0.51,0.189,0,https://www.eliteprospects.com/player/498107/artem-shlaine
Tim Washe,San Diego Gulls,36,14,13,27,0.361,0.389,0.75,0.778,6,https://www.eliteprospects.com/player/321143/tim-washe
Gabe Klassen,Wilkes-Barre/Scranton Penguins,48,14,13,27,0.271,0.292,0.56,0.333,3,https://www.eliteprospects.com/player/485361/gabe-klassen
Tye Felhaber,Colorado Eagles,50,14,13,27,0.26,0.28,0.54,0.64,13,https://www.eliteprospects.com/player/251448/tye-felhaber
Yegor Sidorov,San Diego Gulls,57,14,13,27,0.228,0.246,0.47,0.596,-12,https://www.eliteprospects.com/player/679585/yegor-sidorov
Mitch McLain,Henderson Silver Knights,56,13,14,27,0.25,0.232,0.48,1.446,-6,https://www.eliteprospects.com/player/193228/mitch-mclain
Wyatt Bongiovanni,totals,59,13,14,27,0.237,0.22,0.46,0.542,-15,https://www.eliteprospects.com/player/233479/wyatt-bongiovanni
Noel Gunler,Chicago Wolves,55,11,16,27,0.291,0.2,0.49,0.836,-11,https://www.eliteprospects.com/player/393444/noel-gunler
Adam Sykora,Hartford Wolf Pack,58,11,16,27,0.276,0.19,0.47,0.483,3,https://www.eliteprospects.com/player/527426/adam-sykora
Oscar Fisker Molgaard,Coachella Valley Firebirds,43,8,19,27,0.442,0.186,0.63,0.233,1,https://www.eliteprospects.com/player/729161/oscar-fisker-molgaard
Alex Jefferies,Bridgeport Islanders,47,8,19,27,0.404,0.17,0.57,0.851,-6,https://www.eliteprospects.com/player/466015/alex-jefferies
Lleyton Roed,Coachella Valley Firebirds,50,8,19,27,0.38,0.16,0.54,0.16,16,https://www.eliteprospects.com/player/551465/lleyton-roed
Garrett Pilon,Belleville Senators,44,7,20,27,0.455,0.159,0.61,0.045,-2,https://www.eliteprospects.com/player/49041/garrett-pilon
