PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK
Connor Mayer,Hershey Bears,1,1,0,1,0,1,1,0,1,https://www.eliteprospects.com/player/313508/connor-mayer
Mathieu Joseph,Springfield Thunderbirds,2,1,0,1,0,0.5,0.5,0,-1,https://www.eliteprospects.com/player/227640/mathieu-joseph
Jayden Grubbe,Abbotsford Canucks,2,1,0,1,0,0.5,0.5,1,-2,https://www.eliteprospects.com/player/475192/jayden-grubbe
Josh Dunne,Rochester Americans,2,1,0,1,0,0.5,0.5,2,1,https://www.eliteprospects.com/player/272225/josh-dunne
Ryan Chyzowski,Calgary Wranglers,3,1,0,1,0,0.333,0.33,0,-1,https://www.eliteprospects.com/player/344066/ryan-chyzowski
Dylan Moulton,Manitoba Moose,3,1,0,1,0,0.333,0.33,0,0,https://www.eliteprospects.com/player/370017/dylan-moulton
Filip Hallander,Wilkes-Barre/Scranton Penguins,3,1,0,1,0,0.333,0.33,0.667,1,https://www.eliteprospects.com/player/293387/filip-hallander
Saige Weinstein,Colorado Eagles,3,1,0,1,0,0.333,0.33,0.667,0,https://www.eliteprospects.com/player/612889/saige-weinstein
Tyler Motte,Charlotte Checkers,4,1,0,1,0,0.25,0.25,0.5,-2,https://www.eliteprospects.com/player/151824/tyler-motte
William Dufour,totals,6,1,0,1,0,0.167,0.17,0,0,https://www.eliteprospects.com/player/294583/william-dufour
Spencer Kersten,Syracuse Crunch,6,1,0,1,0,0.167,0.17,0.333,1,https://www.eliteprospects.com/player/370370/spencer-kersten
Patrick Thomas,Hershey Bears,6,1,0,1,0,0.167,0.17,0.333,-2,https://www.eliteprospects.com/player/603791/patrick-thomas
Cooper Gay,Colorado Eagles,7,1,0,1,0,0.143,0.14,0.286,0,https://www.eliteprospects.com/player/658212/cooper-gay
Ryland Mosley,totals,8,1,0,1,0,0.125,0.13,0.25,-2,https://www.eliteprospects.com/player/300794/ryland-mosley
Josh Davies,Milwaukee Admirals,11,1,0,1,0,0.091,0.09,0.818,-5,https://www.eliteprospects.com/player/532703/josh-davies
Brandon Baddock,Toronto Marlies,12,1,0,1,0,0.083,0.08,2.667,-1,https://www.eliteprospects.com/player/83627/brandon-baddock
Marcel Marcel,Rockford IceHogs,13,1,0,1,0,0.077,0.08,0.538,-7,https://www.eliteprospects.com/player/559520/marcel-marcel
Josh Lopina,Rockford IceHogs,16,1,0,1,0,0.062,0.06,0.5,-3,https://www.eliteprospects.com/player/315963/josh-lopina
